TaskType,TaskCountType,ShowCompleteInProgress
1,0,0
301,1,0
2,0,0
53,0,0
200,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
202,0,0
102,0,0
103,0,0
124,0,0
125,0,0
126,0,0
157,0,0
201,0,0
3,0,0
401,0,0
400,0,0
180,0,0
6,0,0
208,0,0
209,0,0
210,0,0
5,0,0
501,0,0
130,0,0
131,0,0
204,0,0
205,0,0
206,0,0
207,0,0
128,0,0
129,0,0
500,0,0
52,0,0
7,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
350,0,0
138,0,0
139,0,0
140,0,0
141,0,0
100,0,0
211,0,0
600,0,0
601,0,0
54,0,0
55,0,0
8,0,0
800,0,0
801,0,0
402,1,0
